,date,awnd,evap,prcp,snow,tavg,tmax,wdmv
plumas_2010,2010.0,,,45.27,88.2,48.775000000000006,62.375,
plumas_2011,2011.0,,,23.05,128.6,48.60000000000001,62.67142857142857,
plumas_2012,2012.0,,,41.69,,51.525,66.14000000000001,
plumas_2015,2015.0,,,22.033333333333335,30.73333333333333,52.51666666666666,68.31666666666666,
plumas_2016,2016.0,,,46.419999999999995,49.9,51.20000000000001,65.86666666666666,
plumas_2013,2013.0,,,9.863999999999999,22.0,49.18,66.24,
plumas_2014,2014.0,,,31.44333333333334,12.2,52.98,68.96000000000001,
santa_cruz_2010,2010.0,3.8,,39.556666666666665,0.0,56.96666666666667,67.31666666666666,
santa_cruz_2011,2011.0,3.8,,31.2675,,56.9,67.83333333333334,
santa_cruz_2015,2015.0,4.3,,18.56375,,60.620000000000005,73.35000000000001,
santa_cruz_2016,2016.0,4.3,,43.67444444444445,,59.4,69.49999999999999,
santa_cruz_2012,2012.0,3.8,,38.91166666666667,0.0,58.4,70.34,
santa_cruz_2013,2013.0,3.8,,5.8549999999999995,0.0,58.739999999999995,72.5,
santa_cruz_2014,2014.0,4.0,,34.462222222222216,0.0,60.78333333333333,72.55,
tulare_2011,2011.0,,,9.87,0.0,55.120000000000005,67.09,
tulare_2010,2010.0,,,32.326,72.71666666666667,56.15833333333333,68.575,
tulare_2012,2012.0,,,13.78,,58.42999999999999,70.52000000000001,
tulare_2013,2013.0,,,7.92,,57.73,70.26,
tulare_2014,2014.0,,,17.588,124.15,58.78333333333334,71.27692307692307,
tulare_2015,2015.0,,,14.77,,60.6888888888889,72.58888888888889,
tulare_2016,2016.0,,,15.0,,57.563636363636355,70.15833333333335,
butte_2010,2010.0,6.0,,47.84,0.0,59.15714285714286,69.4875,
butte_2011,2011.0,5.6,,31.256666666666664,,60.1,71.08333333333334,
butte_2013,2013.0,5.6,,10.873333333333333,,61.5625,73.25,
butte_2014,2014.0,5.8,,35.05625,0.0,62.628571428571426,73.35714285714288,
butte_2015,2015.0,5.8,,15.84888888888889,0.0,62.425000000000004,73.55,
butte_2016,2016.0,6.0,,46.34888888888889,0.0,60.825,71.675,
butte_2012,2012.0,,,43.5025,,59.5,70.30000000000001,
shasta_2013,2013.0,5.4,73.5,14.761333333333333,6.9,59.333333333333336,72.52499999999999,15308.7
shasta_2014,2014.0,5.4,72.3,48.92999999999999,3.8666666666666667,59.445454545454545,71.81818181818183,14102.6
shasta_2015,2015.0,5.4,57.05,28.620000000000005,5.6571428571428575,60.445454545454545,72.86363636363636,2724.7
shasta_2010,2010.0,5.4,66.7,64.3323076923077,10.766666666666667,57.028571428571425,68.1125,
shasta_2016,2016.0,5.6,,63.5809090909091,5.666666666666667,57.169999999999995,69.49000000000001,
