SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Powerline,Railroad,Smoking,Undet.,Vehicle
Fresno,51,2,0,5,7,0,10,0,6,0,1,19,1
Kings,1,0,0,0,0,0,0,0,0,0,0,1,0
Fresno-Kings,52,2,0,5,7,0,10,0,6,0,1,20,1
Madera,48,0,0,4,3,2,17,0,0,0,0,21,1
Mariposa,31,0,0,4,8,0,10,0,2,0,0,6,1
Merced,28,1,0,1,4,0,3,0,3,0,1,14,1
Madera-Mariposa,107,1,0,9,15,2,30,0,5,0,1,41,3
Riverside,183,6,0,7,33,7,47,0,10,0,6,64,3
Riverside,183,6,0,7,33,7,47,0,10,0,6,64,3
Monterey,53,3,0,5,10,0,19,0,3,0,1,10,2
San Benito,22,2,2,2,4,0,6,0,1,0,0,4,1
San Benito-Monterey,75,5,2,7,14,0,25,0,4,0,1,14,3
Inyo,14,3,0,1,0,1,1,0,1,0,0,6,1
San Bernardino,116,8,0,16,8,6,28,0,4,0,0,46,0
San Bernardino,130,11,0,17,8,7,29,0,5,0,0,52,1
San Diego,136,7,0,16,18,8,40,0,3,0,0,43,1
San Diego,136,7,0,16,18,8,40,0,3,0,0,43,1
San Luis Obispo,79,0,0,7,18,1,21,0,2,0,0,29,1
San Luis Obispo,79,0,0,7,18,1,21,0,2,0,0,29,1
Tulare,76,20,0,3,15,1,10,0,2,0,0,24,1
Tulare,76,20,0,3,15,1,10,0,2,0,0,24,1
Calaveras,85,7,2,10,12,2,24,0,8,0,2,18,0
E. San Joaquin,7,0,0,0,0,0,1,0,2,0,0,3,1
E. Stanislaus,32,7,0,1,3,0,9,0,1,0,2,8,1
Tuolumne,59,1,0,5,4,2,18,0,2,0,0,24,3
Tuolumne-Calaveras,183,15,2,16,19,4,52,0,13,0,4,53,5
SOUTHERN  REGION TOTAL,"1,021",67,4,87,147,30,264,0,50,0,13,340,19
STATE TOTAL,"2,434",146,17,268,320,53,698,0,115,0,41,734,42
