NORTHERN,,,,,,,,,,,,,,,,,,
REGION,Total,Arson,Campfire,Debris Burning,,Equip. Use,,Ltng.,Misc.,Powerline,P-W-F,,Railroad,Smoking,,Undet.,,Vehicle
Amador,51,1,0,10,,6,,0,21,2,,0,0,,0,8,,3
El Dorado,143,2,0,42,,18,,2,53,7,,0,0,,1,14,,4
Sacramento,15,2,0,0,,2,,0,7,1,,0,0,,0,3,,0
San Joaquin,7,0,0,0,,1,,0,4,0,,0,0,,0,2,,0
Amador-El Dorado,216,5,0,52,,27,,2,85,10,,0,0,,1,27,,7
Butte,164,24,1,29,,16,,2,48,9,,0,0,,2,27,,6
Plumas,3,2,0,0,,0,,1,0,0,,0,0,,0,0,,0
Tehama,1,0,0,0,,1,,0,0,0,,0,0,,0,0,,0
Butte,168,26,1,29,,17,,3,48,9,,0,0,,2,27,,6
Del Norte,17,2,1,3,,1,,0,4,0,,0,0,,0,6,,0
Humboldt,80,5,1,14,,3,,0,17,3,,0,0,,1,32,,4
Siskiyou,1,0,0,0,,0,,0,0,1,,0,0,,0,0,,0
W. Trinity,1,0,0,0,,0,,0,0,0,,0,0,,0,1,,0
Humboldt-Del,,,,,,,,,,,,,,,,,,
Norte,99,7,2,17,,4,,0,21,4,,0,0,,1,39,,4
Lassen,36,3,0,10,,3,,8,4,1,,1,0,,0,5,,1
Modoc,29,0,0,3,,1,,3,18,0,,0,0,,0,4,,0
Plumas,6,0,0,2,,0,,0,2,0,,0,0,,0,2,,0
Lassen-Modoc,71,3,0,15,,4,,11,24,1,,1,0,,0,11,,1
Mendocino,128,13,2,21,,10,,0,36,2,,1,0,,2,38,,3
Mendocino,128,13,2,21,,10,,0,36,2,,1,0,,2,38,,3
Nevada,59,2,1,15,,6,,3,15,1,,0,0,,2,14,,0
Placer,78,1,1,13,,9,,1,22,7,,0,0,,3,20,,1
Sierra,5,0,0,0,,0,,0,0,0,,0,0,,0,5,,0
Sutter,4,0,0,0,,0,,0,1,0,,0,0,,0,3,,0
Yuba,55,3,0,5,,7,,0,18,3,,0,0,,1,16,,2
Nevada-Yuba-,,,,,,,,,,,,,,,,,,
Placer,201,6,2,33,,22,,4,56,11,,0,0,,6,58,,3
San Mateo,10,0,0,0,,2,,0,5,0,,0,0,,0,3,,0
Santa Cruz,60,0,2,6,,5,,0,27,9,,0,0,,0,11,,0
San Mateo-Santa,,,,,,,,,,,,,,,,,,
Cruz,70,0,2,6,,7,,0,32,9,,0,0,,0,14,,0
NORTHERN REGION,,Total,Arson,Campfire,Debris Burning,,Equip. Use,,Ltng.,Misc.,Powerline,P-W-F,,Railroad,Smoking,,Undet.,Vehicle
Alameda,,49,1,0,0,,,9,0,16,5,,0,0,0,,14,4
Contra Costa,,68,3,0,3,,,5,1,32,1,,0,0,0,,21,2
Santa Clara,,38,2,2,2,,,6,0,13,5,,0,0,0,,8,0
W. San Joaquin,,21,0,0,1,,,1,0,9,0,,0,0,0,,9,1
W. Stanislaus,,17,0,0,1,,,4,0,3,2,,0,0,0,,5,2
Santa Clara,,193,6,2,7,,25,,1,73,13,,0,0,0,,57,9
E. Trinity,,28,3,1,1,,,2,0,10,3,,0,0,1,,5,2
Shasta,,158,12,1,27,,11,,18,51,4,,1,0,3,,29,1
Shasta-Trinity,,186,15,2,28,,13,,18,61,7,,1,0,4,,34,3
Shasta,,1,0,0,0,,,0,0,1,0,,0,0,0,,0,0
Siskiyou,,56,1,0,13,,,4,8,20,0,,1,0,0,,5,4
"",Siskiyou,57,1,0,13,,,4,8,21,0,,1,0,0,,5,4
Colusa,,11,3,1,0,,,2,0,2,0,,0,0,0,,3,0
Lake,,57,2,2,11,,,2,0,16,2,,0,0,2,,20,0
Napa,,30,0,0,3,,,6,0,10,2,,0,0,0,,8,1
Solano,,16,1,0,4,,,2,0,2,0,,0,0,0,,6,1
Sonoma,,74,0,1,9,,,9,0,29,6,,0,0,0,,17,3
Yolo,,23,0,0,6,,,4,0,3,0,,0,0,0,,9,1
Sonoma-Lake-,,,,,,,,,,,,,,,,,,
"",Napa,211,6,4,33,,25,,0,62,10,,0,0,2,,63,6
Glenn,,2,0,0,0,,,0,0,1,0,,0,0,0,,1,0
Tehama,,83,2,0,8,,11,,0,45,2,,0,0,2,,13,0
Tehama-Glenn,,85,2,0,8,,11,,0,46,2,,0,0,2,,14,0
NORTHERN,,,,,,,,,,,,,,,,,,
REGION TOTAL,,"1,685",90,17,262,,169,,47,565,78,,4,0,20,,387,46
