SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,110,5,1,13,24,2,38,11,0,0,0,14,2
Kings,5,0,0,0,2,0,2,0,0,0,0,1,0
Fresno-Kings,115,5,1,13,26,2,40,11,0,0,0,15,2
Madera,73,2,1,14,7,1,16,3,1,0,0,27,1
Mariposa,49,1,0,10,6,1,18,1,0,0,0,12,0
Merced,23,0,0,0,2,0,8,2,0,0,0,10,1
Madera-Mariposa,145,3,1,24,15,2,42,6,1,0,0,49,2
Riverside,208,7,0,12,29,5,53,10,0,1,7,78,6
Riverside,208,7,0,12,29,5,53,10,0,1,7,78,6
Monterey,72,6,1,9,16,0,27,5,0,0,0,7,1
San Benito,23,2,0,1,5,0,8,3,0,0,0,4,0
San Benito-Monterey,95,8,1,10,21,0,35,8,0,0,0,11,1
Inyo,13,2,1,2,3,1,0,0,0,0,1,3,0
San Bernardino,102,5,0,5,19,3,40,5,1,0,3,21,0
San Bernardino,115,7,1,7,22,4,40,5,1,0,4,24,0
San Diego,196,6,0,8,28,8,57,9,0,0,2,77,1
San Diego,196,6,0,8,28,8,57,9,0,0,2,77,1
San Luis Obispo,126,2,0,9,24,1,54,6,0,0,0,27,3
San Luis Obispo,126,2,0,9,24,1,54,6,0,0,0,27,3
Tulare,57,10,1,4,3,2,14,3,0,0,1,18,1
Tulare,57,10,1,4,3,2,14,3,0,0,1,18,1
Calaveras,134,5,1,37,11,3,45,2,1,0,2,25,2
E. San Joaquin,7,1,0,0,1,0,4,0,0,0,0,1,0
E. Stanislaus,52,3,3,0,3,1,22,1,0,0,1,16,2
Tuolumne,121,2,0,31,2,0,66,2,0,0,1,16,1
Tuolumne-Calaveras,314,11,4,68,17,4,137,5,1,0,4,58,5
SOUTHERN  REGION TOTAL,"1,371",59,9,155,185,28,472,63,3,1,18,357,21
STATE TOTAL,"3,056",149,26,417,354,75,"1,037",141,7,1,38,744,67
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,51,25,23,3,0,0,0,0
El Dorado,143,105,37,1,0,0,0,0
Sacramento,15,4,9,2,0,0,0,0
San Joaquin,7,2,5,0,0,0,0,0
Amador-El Dorado,216,136,74,6,0,0,0,0
Butte,164,94,62,8,0,0,0,0
Plumas,3,1,2,0,0,0,0,0
Tehama,1,0,1,0,0,0,0,0
Butte,168,95,65,8,0,0,0,0
Del Norte,17,14,3,0,0,0,0,0
Humboldt,80,43,33,3,0,1,0,0
Siskiyou,1,0,1,0,0,0,0,0
W. Trinity,1,0,1,0,0,0,0,0
Humboldt-Del Norte,99,57,38,3,0,1,0,0
Lassen,36,23,11,2,0,0,0,0
Modoc,29,17,11,1,0,0,0,0
Plumas,6,5,1,0,0,0,0,0
Lassen-Modoc,71,45,23,3,0,0,0,0
Mendocino,128,46,81,0,0,1,0,0
Mendocino,128,46,81,0,0,1,0,0
Nevada,59,37,21,1,0,0,0,0
Placer,78,39,39,0,0,0,0,0
Sierra,5,0,4,1,0,0,0,0
Sutter,4,0,1,1,2,0,0,0
Yuba,55,14,33,5,2,1,0,0
Nevada-Yuba-Placer,201,90,98,8,4,1,0,0
San Mateo,10,4,6,0,0,0,0,0
Santa Cruz,60,41,19,0,0,0,0,0
San Mateo-Santa Cruz,70,45,25,0,0,0,0,0
