NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle
Amador,55,1,2,17,6,8,11,3,0,0,0,5,2
El Dorado,169,6,1,41,18,17,32,13,3,0,7,20,11
Sacramento,12,0,0,0,3,0,2,0,0,0,1,6,0
Amador-El Dorado,236,7,3,58,27,25,45,16,3,0,8,31,13
Butte,114,6,0,15,13,0,19,4,7,0,2,29,19
Tehama,4,1,0,0,1,0,0,0,0,0,0,2,0
Butte,118,7,0,15,14,0,19,4,7,0,2,31,19
Del Norte,35,23,3,3,0,0,1,1,0,0,0,4,0
Humboldt,88,15,13,10,3,1,4,9,0,0,0,26,7
Humboldt-Del Norte,123,38,16,13,3,1,5,10,0,0,0,30,7
Lassen,25,0,0,3,2,13,3,0,1,0,0,2,1
Modoc,9,1,0,3,0,2,2,0,0,0,0,1,0
Plumas,8,0,1,3,0,0,0,0,1,0,0,3,0
Lassen-Modoc,42,1,1,9,2,15,5,0,2,0,0,6,1
Mendocino,102,5,7,17,6,1,5,12,7,0,2,31,9
Mendocino,102,5,7,17,6,1,5,12,7,0,2,31,9
Nevada,90,3,4,24,7,2,6,10,1,0,2,23,8
Placer,111,3,2,20,7,4,12,4,0,2,0,39,18
Sierra,1,0,0,0,0,0,0,0,0,0,0,1,0
Yuba,47,1,0,6,6,0,10,4,1,1,0,15,3
Nevada-Yuba-Placer,249,7,6,50,20,6,28,18,2,3,2,78,29
San Mateo,15,2,2,0,2,1,2,3,0,0,0,3,0
Santa Cruz,43,0,5,9,1,1,10,7,3,0,0,5,2
San Mateo-Santa Cruz,58,2,7,9,3,2,12,10,3,0,0,8,2
NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,15,0,0,0,0,0,3,5,0,0,0,7,0
Contra Costa,21,2,0,0,2,0,1,4,0,0,0,10,2
Santa Clara,34,1,4,2,1,0,7,5,0,0,0,9,5
W. San Joaquin,4,0,0,0,0,0,1,0,0,0,0,0,3
W. Stanislaus,10,0,0,0,1,0,0,1,0,0,0,1,7
Santa Clara,84,3,4,2,4,0,12,15,0,0,0,27,17
E. Trinity,22,1,2,5,1,0,1,5,0,0,0,5,2
Shasta,171,13,7,24,21,15,22,14,3,0,2,42,8
Shasta-Trinity,193,14,9,29,22,15,23,19,3,0,2,47,10
Shasta,1,0,0,0,0,1,0,0,0,0,0,0,0
Siskiyou,98,3,3,32,4,4,22,1,1,0,2,23,3
Siskiyou,99,3,3,32,4,5,22,1,1,0,2,23,3
Colusa,8,0,0,0,1,0,0,0,0,0,0,7,0
Lake,74,1,2,9,7,1,6,6,2,0,0,33,7
Napa,33,0,1,7,3,0,2,5,0,0,1,8,6
Solano,19,2,1,2,2,0,1,2,0,0,2,7,0
Sonoma,128,3,7,17,11,0,25,19,1,0,1,33,11
Yolo,15,2,0,1,3,0,0,1,1,0,0,6,1
Sonoma-Lake-Napa,277,8,11,36,27,1,34,33,4,0,4,94,25
Glenn,6,0,1,0,1,0,0,0,0,0,0,4,0
Tehama,76,2,1,9,14,2,16,5,1,0,0,23,3
Tehama-Glenn,82,2,2,9,15,2,16,5,1,0,0,27,3
NORTHERN REGION TOTAL,"1,663",97,69,279,147,73,226,143,33,3,22,433,138
