SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,64,3,0,8,,12,,10,,5,,5,2,0,0,15,4
Kings,4,0,0,0,,1,,,0,0,,0,0,0,0,1,2
Fresno-Kings,68,3,0,8,,13,,10,,5,,5,2,0,0,16,6
Madera,102,13,6,7,,5,,,7,3,,5,2,0,2,40,12
Mariposa,38,0,1,7,,2,,,3,0,,5,0,0,4,13,3
Merced,20,1,0,1,,4,,,1,0,,0,0,0,3,10,0
Madera-Mariposa,160,14,7,15,,11,,11,,3,,10,2,0,9,63,15
Riverside,224,3,6,11,,10,,,8,2,,44,6,0,3,68,63
Riverside,224,3,6,11,,10,,,8,2,,44,6,0,3,68,63
Monterey,70,2,5,14,,9,,,3,0,,7,0,0,5,9,16
San Benito,19,1,1,2,,0,,,1,0,,7,0,0,0,3,4
San Benito-Monterey,89,3,6,16,,9,,,4,0,,14,0,0,5,12,20
Inyo,22,1,0,1,,1,,,0,7,,2,0,0,1,8,1
San Bernardino,104,8,5,21,,2,,,5,6,,17,5,2,4,21,8
San Bernardino,126,9,5,22,,3,,,5,13,,19,5,2,5,29,9
San Diego,197,11,7,7,,10,,27,,1,,27,3,0,2,86,16
San Diego,197,11,7,7,,10,,27,,1,,27,3,0,2,86,16
San Luis Obispo,122,0,5,5,,13,,12,,0,,30,2,0,2,37,16
San Luis Obispo,122,0,5,5,,13,,12,,0,,30,2,0,2,37,16
Tulare,60,12,2,3,,6,,13,,4,,5,0,0,0,8,7
Tulare,60,12,2,3,,6,,13,,4,,5,0,0,0,8,7
Calaveras,98,4,3,22,,9,,11,,0,,7,3,0,1,30,8
E. San Joaquin,7,0,0,0,,0,,,4,0,,0,0,0,0,3,0
E. Stanislaus,23,2,1,0,,2,,,1,0,,0,0,0,0,15,2
Tuolumne,83,2,2,17,,8,,,8,1,,18,1,0,2,18,6
Tuolumne-Calaveras,211,8,6,39,,19,,24,,1,,25,4,0,3,66,16
SOUTHERN REGION,,,,,,,,,,,,,,,,,
TOTAL,"1,257",63,44,126,,94,,114,,29,,179,24,2,29,385,168
STATE TOTAL,"3,672",233,123,512,,322,,309,,262,,498,83,6,65,928,331
