NORTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Amador,67,2,3,14,,6,,12,,1,,15,1,0,0,9,4
El Dorado,174,3,3,41,,11,,18,,9,,32,5,0,4,26,22
Sacramento,15,1,0,1,,2,,,2,0,,2,0,0,0,5,2
San Joaquin,6,0,0,0,,0,,,2,0,,0,0,0,0,3,1
Amador-El Dorado,262,6,6,56,,19,,34,,10,,49,6,0,4,43,29
Butte,192,40,2,34,,11,,,9,4,,47,6,0,2,22,15
Tehama,1,0,0,0,,0,,,0,0,,1,0,0,0,0,0
Butte,193,40,2,34,,11,,,9,4,,48,6,0,2,22,15
Del Norte,27,2,7,3,,0,,,0,1,,4,1,0,0,8,1
Humboldt,127,40,17,8,,8,,,4,0,,15,0,0,2,30,3
Humboldt-Del Norte,154,42,24,11,,8,,,4,1,,19,1,0,2,38,4
Lassen,67,1,2,12,,0,,,2,40,,1,0,0,0,7,2
Modoc,11,0,0,4,,0,,,0,5,,0,0,0,0,2,0
Plumas,7,0,0,1,,0,,,0,1,,2,0,0,0,3,0
Shasta,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Siskiyou,1,0,0,1,,0,,,0,0,,0,0,0,0,0,0
Lassen-Modoc,86,1,2,18,,0,,,2,46,,3,0,0,0,12,2
Mendocino,138,17,6,22,,11,,,6,4,,34,1,0,2,20,15
Mendocino,138,17,6,22,,11,,,6,4,,34,1,0,2,20,15
Nevada,75,3,4,20,,7,,,5,2,,7,0,0,3,21,3
Placer,126,1,4,16,,10,,16,,5,,13,3,3,5,44,6
Sierra,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Sutter,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
Yuba,49,2,1,11,,6,,,2,1,,5,0,0,2,17,2
Nevada-Yuba-Placer,250,6,9,47,,23,,23,,8,,25,3,3,10,82,11
San Mateo,12,0,0,1,,2,,,0,0,,1,1,0,0,6,1
Santa Cruz,62,11,7,11,,8,,,2,0,,5,1,0,2,13,2
San Mateo-Santa Cruz,74,11,7,12,,10,,,2,0,,6,2,0,2,19,3
NORTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Alameda,33,0,1,0,,6,,,5,0,,1,0,0,1,13,6
Contra Costa,29,1,1,1,,5,,,1,0,,3,0,0,0,15,2
Santa Clara,37,2,3,0,,3,,,5,0,,2,1,0,3,13,5
W. San Joaquin,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0
W. Stanislaus,15,0,0,0,,0,,,0,0,,0,0,0,0,8,7
Santa Clara,114,3,5,1,,14,,11,,0,,6,1,0,4,49,20
E. Trinity,15,3,0,4,,0,,,0,5,,2,0,0,0,0,1
Shasta,164,15,6,38,,4,,15,,17,,15,4,0,6,24,20
Shasta-Trinity,179,18,6,42,,4,,15,,22,,17,4,0,6,24,21
Shasta,2,0,1,0,,0,,,0,0,,0,0,0,0,1,0
Siskiyou,160,5,5,8,,5,,,2,47,,62,0,1,2,18,5
Siskiyou,162,5,6,8,,5,,,2,47,,62,0,1,2,19,5
Colusa,2,0,0,0,,0,,,0,0,,0,1,0,0,0,1
Lake,62,0,4,9,,4,,,2,0,,11,6,0,0,15,11
Napa,58,5,0,6,,12,,,5,0,,13,0,0,1,11,5
Solano,12,0,0,2,,0,,,3,0,,3,0,0,0,3,1
Sonoma,120,4,13,24,,21,,14,,0,,21,1,0,0,11,11
Yolo,17,0,0,0,,2,,,6,0,,3,0,0,1,4,1
Sonoma-Lake-Napa,271,9,17,41,,39,,30,,0,,51,8,0,2,44,30
Glenn,4,0,0,0,,0,,,0,0,,2,0,0,0,2,0
Tehama,68,1,0,10,,2,,,7,4,,14,2,0,0,23,5
Tehama-Glenn,72,1,0,10,,2,,,7,4,,16,2,0,0,25,5
NORTHERN REGION,,,,,,,,,,,,,,,,,
TOTAL,"1,955",159,90,302,,146,,145,,146,,336,34,4,36,397,160
