SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,115,35,3,8,,12,,10,,20,7,0,0,1,12,7
Kings,2,0,0,0,,0,,,0,0,0,0,0,0,2,0
Fresno-Kings,117,35,3,8,,12,,10,,20,7,0,0,1,14,7
Madera,74,7,2,17,,7,,,7,1,4,4,0,0,16,9
Mariposa,44,4,2,20,,0,,,5,1,5,0,0,1,4,2
Merced,19,4,0,0,,1,,,0,1,2,0,0,0,5,6
Madera-Mariposa,137,15,4,37,,8,,12,,3,11,4,0,1,25,17
Riverside,120,4,12,18,,5,,,8,2,16,5,0,3,40,7
Riverside,120,4,12,18,,5,,,8,2,16,5,0,3,40,7
Monterey,54,1,0,5,,10,,,4,9,5,1,0,1,11,7
San Benito,24,2,0,1,,3,,,9,1,1,0,0,0,5,2
San Benito-Monterey,78,3,0,6,,13,,13,,10,6,1,0,1,16,9
Inyo,12,0,1,1,,1,,,0,1,0,0,0,1,5,2
San Bernardino,87,3,9,9,,0,,,2,3,28,4,0,0,26,3
San Bernardino,99,3,10,10,,1,,,2,4,28,4,0,1,31,5
San Diego,110,0,3,16,,6,,,9,6,17,3,0,0,47,3
San Diego,110,0,3,16,,6,,,9,6,17,3,0,0,47,3
San Luis Obispo,134,1,10,7,,11,,15,,7,42,1,0,1,11,28
San Luis Obispo,134,1,10,7,,11,,15,,7,42,1,0,1,11,28
Tulare,70,5,0,1,,7,,,5,17,12,0,0,0,20,3
Tulare,70,5,0,1,,7,,,5,17,12,0,0,0,20,3
Calaveras,122,2,1,32,,7,,13,,8,21,1,0,1,26,10
E. San Joaquin,10,0,0,0,,0,,,4,0,1,0,0,0,3,2
E. Stanislaus,30,4,5,0,,6,,,1,1,4,0,0,0,6,3
Tuolumne,83,3,1,13,,8,,10,,6,16,0,0,1,21,4
Tuolumne-Calaveras,245,9,7,45,,21,,28,,15,42,1,0,2,56,19
SOUTHERN REGION,,,,,,,,,,,,,,,,
TOTAL,"1,110",75,49,148,,84,,102,,84,181,19,0,10,260,98
STATE TOTAL,"3,231",253,120,454,,252,,241,,352,479,44,5,31,744,256
