"",,A,B,C,,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,115,52,55,7,,1,0,0,0
Kings,2,0,2,0,,0,0,0,0
Fresno-Kings,117,52,57,7,,1,0,0,0
Madera,74,50,21,1,,1,1,0,0
Mariposa,44,24,18,2,,0,0,0,0
Merced,19,1,14,1,,0,1,2,0
Madera-Mariposa,137,75,53,4,,1,2,2,0
Riverside,120,85,30,4,,0,0,1,0
Riverside,120,85,30,4,,0,0,1,0
Monterey,54,30,22,1,,0,0,1,0
San Benito,24,10,12,1,,0,1,0,0
San Benito-Monterey,78,40,34,2,,0,1,1,0
Inyo,12,9,2,0,,0,0,0,1
San Bernardino,87,66,20,1,,0,0,0,0
San Bernardino,99,75,22,1,,0,0,0,1
San Diego,110,76,30,3,,1,0,0,0
San Diego,110,76,30,3,,1,0,0,0
San Luis Obispo,134,85,43,4,,0,0,2,0
San Luis Obispo,134,85,43,4,,0,0,2,0
Tulare,70,21,42,6,,0,1,0,0
Tulare,70,21,42,6,,0,1,0,0
Calaveras,122,72,45,4,,1,0,0,0
E. San Joaquin,10,3,7,0,,0,0,0,0
E. Stanislaus,30,9,17,4,,0,0,0,0
Tuolumne,83,51,25,4,,3,0,0,0
Tuolumne-Calaveras,245,135,94,12,,4,0,0,0
SOUTHERN REGION,,,,,,,,,
TOTAL,"1,110",644,405,43,,7,4,6,1
STATE TOTAL,"3,231","2,027","1,025",129,,25,9,10,6
