"",,,A,B,C,,D,E,F,G
COUNTY,Total,,.25 acres or <,.26-9.99 acres,10-99 acres,,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,39,,10,20,,9,0,0,0,0
Alpine,0,,0,0,,0,0,0,0,0
Amador,57,,29,21,,6,1,0,0,0
Butte,0,,0,0,,0,0,0,0,0
Calaveras,94,,54,28,,9,0,3,0,0
Colusa,4,,3,1,,0,0,0,0,0
Contra Costa,28,,13,10,,5,0,0,0,0
Del Norte,28,,23,4,,0,1,0,0,0
El Dorado,169,,115,49,,4,1,0,0,0
Fresno,106,,56,37,,3,7,0,2,1
Glenn,6,,4,2,,0,0,0,0,0
Humboldt,105,,72,28,,4,0,1,0,0
Imperial,0,,0,0,,0,0,0,0,0
Inyo,15,,9,5,,0,1,0,0,0
Kings,2,,2,0,,0,0,0,0,0
Lake,74,,53,14,,6,0,0,1,0
Lassen,31,,18,11,,1,0,0,1,0
Madera,81,,39,36,,5,1,0,0,0
Mariposa,60,,25,33,,2,0,0,0,0
Mendocino,118,,84,29,,5,0,0,0,0
Merced,35,,12,15,,7,0,0,1,0
Modoc,8,,4,3,,0,0,1,0,0
Mono,0,,0,0,,0,0,0,0,0
Monterey,58,,26,23,,5,2,0,1,1
Napa,46,,26,17,,3,0,0,0,0
Nevada,125,,104,21,,0,0,0,0,0
Placer,133,,96,35,,1,0,0,0,1
"",,,A,B,C,,D,E,F,G
COUNTY,Total,,.25 acres or <,.26-9.99 acres,10-99 acres,,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Plumas,4,,4,0,0,,0,0,0,0
Riverside,133,,84,42,3,,3,0,1,0
Sacramento,21,,11,6,3,,0,1,0,0
San Benito,23,,10,9,4,,0,0,0,0
San Bernardino,97,,81,16,0,,0,0,0,0
San Diego,131,,87,37,5,,1,0,0,1
San Francisco,0,,0,0,0,,0,0,0,0
San Joaquin,13,,4,6,1,,2,0,0,0
San Luis Obispo,146,,71,65,8,,1,0,0,1
San Mateo,23,,17,5,1,,0,0,0,0
Santa Clara,37,,19,13,2,,2,0,1,0
Santa Cruz,32,,29,3,0,,0,0,0,0
Shasta,114,,64,44,5,,0,1,0,0
Sierra,0,,0,0,0,,0,0,0,0
Siskiyou,160,,137,18,4,,0,1,0,0
Solano,11,,4,5,2,,0,0,0,0
Sonoma,121,,88,31,1,,0,0,1,0
Stanislaus,18,,7,5,5,,1,0,0,0
Sutter,0,,0,0,0,,0,0,0,0
Tehama,59,,31,19,7,,0,2,0,0
Trinity,18,,14,4,0,,0,0,0,0
Tulare,71,,18,46,7,,0,0,0,0
Tuolumne,79,,48,27,3,,0,0,1,0
Yolo,22,,12,7,1,,1,0,0,1
Yuba,61,,29,25,6,,0,1,0,0
STATE TOTAL,"2,816",,"1,746",875,143,,25,11,10,6
